Industrial,,155 4th Street North,Space 1,Nampa,,ID,83687,22 000 SF,22 000 SF,Northside Nampa,Manufacturing,,Negotiable,22 000 SF,,DJ Thompson,17540927,Now
Industrial,,400 3rd Avenue North,Space 1,Nampa,,ID,83687,10 540 SF,10 540 SF,Northside Nampa,Manufacturing,,$0.36 - $316.67 /SF/Mo,10 540 SF,,DJ Thompson,17511323,
Retail,,Franklin Road,1,Nampa,,ID,83651,70 000 SF,70 000 SF,Northside Nampa,Retail (Other),,Negotiable,70 000 SF,,Thornton Oliver Keller Commercial Real Estate,14857788,Now
Office,3818 E. Newby Street,3818 E. Newby Street,Space 1,Nampa,,ID,83687,2 700 SF,216 SF,Idaho Center,Executive Suite,B,$2.78 - $50 /SF/Mo,,,Margaret Robnett,19366944,Now
Industrial,Newby Street,3710 Newby Street,Space 1,Nampa,,ID,83687,5 100 SF,1 680 SF,Idaho Center,Flex Space,,$0.40 - $56.25 /SF/Mo,,,Margaret Robnett,19366909,Now
Industrial,Summit II,4021 E. Summit Lane,Space 1,Nampa,,ID,83687,3 300 SF,3 300 SF,Idaho Center,Flex Space,,$0.55 /SF/Mo,,,Debbie Martin  SIOR,19327392,9/1/2015
Office,Summit Professional Medical Center  Sale & Lease,East Hunt Avenue & North Brinson Street,1st Floor,Nampa,,ID,83687,20 126 SF,10 063 SF,Idaho Center,Medical Office,A,$1.46 /SF/Mo,20 126 SF,,Jennifer McEntee,19319086,Now
Office,Summit Professional Medical Center  Sale & Lease,East Hunt Avenue & North Brinson Street,2nd Floor,Nampa,,ID,83687,20 126 SF,10 063 SF,Idaho Center,Medical Office,A,$1.46 /SF/Mo,20 126 SF,,Jennifer McEntee,19319086,Now
Office,Nampa Gateway Center Office Space,1206 N Galleria Dr ,Space 1,Nampa,,ID,83651,22 000 SF,22 000 SF,Idaho Center,Office Building,A,Negotiable,22 000 SF,,Norm Brown,19252076,Now
Office,Nampa Gateway Center Office Space,1206 N Galleria Dr ,Space 1,Nampa,,ID,83651,22 000 SF,2 800 SF,Idaho Center,Office Building,A,Negotiable,22 000 SF,,Norm Brown,19252076,Now
Office,Premier Building,5700 E Franklin Blvd,110,Nampa,,ID,83686,33 886 SF,582 SF,Idaho Center,Office Building,A,$1.50 /SF/Mo,582 SF,,Lincoln Hagood,18578722,
Office,Premier Building,5700 E Franklin Blvd,205,Nampa,,ID,83686,33 886 SF,2 176 SF,Idaho Center,Office Building,A,$1.33 - $1.50 /SF/Mo,2 176 SF,,Lincoln Hagood,18578722,
Office,Premier Building,5700 E Franklin Blvd,220-I,Nampa,,ID,83686,33 886 SF,195 SF,Idaho Center,Office Building,A,$1.33 - $30 /SF/Mo,195 SF,,Lincoln Hagood,18578722,
Office,Premier Building,5700 E Franklin Blvd,220-H,Nampa,,ID,83686,33 886 SF,166 SF,Idaho Center,Office Building,A,$1.33 - $30 /SF/Mo,166 SF,,Lincoln Hagood,18578722,
Office,Premier Building,5700 E Franklin Blvd,220-A,Nampa,,ID,83686,33 886 SF,132 SF,Idaho Center,Office Building,A,$1.33 - $30 /SF/Mo,,,Lincoln Hagood,18578722,Now
Office,Premier Building,5700 E Franklin Blvd,220-E,Nampa,,ID,83686,33 886 SF,192 SF,Idaho Center,Office Building,A,$1.33 - $30.83 /SF/Mo,,,Lincoln Hagood,18578722,Now
Office,Premier Building,5700 E Franklin Blvd,220-G,Nampa,,ID,83686,33 886 SF,122 SF,Idaho Center,Office Building,A,$1.33 - $30.83 /SF/Mo,,,Lincoln Hagood,18578722,Now
Office,Premier Building,5700 E Franklin Blvd,140,Nampa,,ID,83686,33 886 SF,663 SF,Idaho Center,Office Building,A,$1.33 - $30.83 /SF/Mo,,,Lincoln Hagood,18578722,
Retail,Nampa Gateway Center,1406 N. Galleria Drive,E105,Nampa,,ID,83687,,1 000 SF,Idaho Center,Regional Center/Mall,,Negotiable,,,Mark Bottles,18856800,Now
Retail,Nampa Gateway Center,1406 N. Galleria Drive,E109,Nampa,,ID,83687,,800 SF,Idaho Center,Regional Center/Mall,,Negotiable,,,Mark Bottles,18856800,Now
Retail,Nampa Gateway Center,1406 N. Galleria Drive,F111,Nampa,,ID,83687,,925 SF,Idaho Center,Regional Center/Mall,,Negotiable,,,Mark Bottles,18856800,Now
Retail,Nampa Gateway Center,1406 N. Galleria Drive,F121,Nampa,,ID,83687,,10 000 SF,Idaho Center,Regional Center/Mall,,Negotiable,,,Mark Bottles,18856800,Now
Retail,Nampa Gateway Center,1406 N. Galleria Drive,G108,Nampa,,ID,83687,,1 400 SF,Idaho Center,Regional Center/Mall,,Negotiable,,,Mark Bottles,18856800,Now
Retail,Nampa Gateway Center,1406 N. Galleria Drive,H116,Nampa,,ID,83687,,2 800 SF,Idaho Center,Regional Center/Mall,,Negotiable,,,Mark Bottles,18856800,Now
Retail,Nampa Gateway Center,1406 N. Galleria Drive,E103,Nampa,,ID,83687,,1 000 SF,Idaho Center,Regional Center/Mall,,Negotiable,,,Mark Bottles,18856800,Now
Retail,Nampa Gateway Center,1406 N. Galleria Drive,E107,Nampa,,ID,83687,,800 SF,Idaho Center,Regional Center/Mall,,Negotiable,,,Mark Bottles,18856800,Now
Retail,Nampa Gateway Center,1406 N. Galleria Drive,E111,Nampa,,ID,83687,,2 620 SF,Idaho Center,Regional Center/Mall,,Negotiable,,,Mark Bottles,18856800,Now
Retail,Nampa Gateway Center,1406 N. Galleria Drive,E113,Nampa,,ID,83687,,4 494 SF,Idaho Center,Regional Center/Mall,,Negotiable,,,Mark Bottles,18856800,Now
Retail,Nampa Gateway Center,1406 N. Galleria Drive,E115,Nampa,,ID,83687,,1 498 SF,Idaho Center,Regional Center/Mall,,Negotiable,,,Mark Bottles,18856800,Now
Retail,Nampa Gateway Center,1406 N. Galleria Drive,E117,Nampa,,ID,83687,,2 496 SF,Idaho Center,Regional Center/Mall,,Negotiable,,,Mark Bottles,18856800,Now
Retail,Nampa Gateway Center,1406 N. Galleria Drive,E118,Nampa,,ID,83687,,2 247 SF,Idaho Center,Regional Center/Mall,,Negotiable,,,Mark Bottles,18856800,Now
Retail,Nampa Gateway Center,1406 N. Galleria Drive,E119,Nampa,,ID,83687,,3 500 SF,Idaho Center,Regional Center/Mall,,Negotiable,,,Mark Bottles,18856800,Now
Retail,Nampa Gateway Center,1406 N. Galleria Drive,E121,Nampa,,ID,83687,,3 000 SF,Idaho Center,Regional Center/Mall,,Negotiable,,,Mark Bottles,18856800,Now
